,Name,Link,Type
0,Unknown,,
1,"ALLEN,MissElisabeth Walton",https://www.encyclopedia-titanica.org/titanic-survivor/elisabeth-walton-allen.html,titanic-survivor
2,"ALLISON,MrHudson Joshua Creighton",https://www.encyclopedia-titanica.org/titanic-victim/hudson-joshua-creighton.html,titanic-victim
3,"ALLISON,MrsBess Waldo",https://www.encyclopedia-titanica.org/titanic-victim/bessie-waldo-allison.html,titanic-victim
4,"ALLISON,MissHelen Loraine",https://www.encyclopedia-titanica.org/titanic-victim/loraine-allison.html,titanic-victim
5,"ALLISON,MasterHudson Trevor",https://www.encyclopedia-titanica.org/titanic-survivor/trevor-allison.html,titanic-survivor
6,"ANDERSON,MrHarry",https://www.encyclopedia-titanica.org/titanic-survivor/harry-anderson.html,titanic-survivor
7,"ANDREWS,MrThomas",https://www.encyclopedia-titanica.org/titanic-victim/thomas-andrews.html,titanic-victim
8,"ANDREWS,MissCornelia Theodosia",https://www.encyclopedia-titanica.org/titanic-survivor/kornelia-theodosia-andrews.html,titanic-survivor
9,"APPLETON,MrsCharlotte",https://www.encyclopedia-titanica.org/titanic-survivor/charlotte-appleton.html,titanic-survivor
10,"ARTAGAVEYTIA,MrRamon",https://www.encyclopedia-titanica.org/titanic-victim/ramon-artagaveytia.html,titanic-victim
11,"ASTOR,ColonelJohn Jacob",https://www.encyclopedia-titanica.org/titanic-victim/john-jacob-astor.html,titanic-victim
12,"ASTOR,MrsMadeleine Talmage",https://www.encyclopedia-titanica.org/titanic-survivor/madeleine-talmage-astor.html,titanic-survivor
13,"AUBART,Mme.Léontine Pauline",https://www.encyclopedia-titanica.org/titanic-survivor/leontine-pauline-aubart.html,titanic-survivor
14,"BARBER,MissEllen Mary",https://www.encyclopedia-titanica.org/titanic-survivor/ellen-nellie-barber.html,titanic-survivor
15,"BARKWORTH,MrAlgernon Henry",https://www.encyclopedia-titanica.org/titanic-survivor/algernon-barkworth.html,titanic-survivor
16,"BASSANI,MrsAlbina",https://www.encyclopedia-titanica.org/titanic-survivor/albina-bassani.html,titanic-survivor
17,"BAUMANN,MrJohn David",https://www.encyclopedia-titanica.org/titanic-victim/john-d-baumann.html,titanic-victim
18,"BAXTER,MrsHélène",https://www.encyclopedia-titanica.org/titanic-survivor/helene-baxter.html,titanic-survivor
19,"BAXTER,MrQuigg Edmond",https://www.encyclopedia-titanica.org/titanic-victim/quigg-baxter.html,titanic-victim
20,"BEATTIE,MrThomson",https://www.encyclopedia-titanica.org/titanic-victim/thomson-beattie.html,titanic-victim
21,"BECKWITH,MrRichard Leonard",https://www.encyclopedia-titanica.org/titanic-survivor/richard-leonard-beckwith.html,titanic-survivor
22,"BECKWITH,MrsSarah Maybell",https://www.encyclopedia-titanica.org/titanic-survivor/sallie-beckwith.html,titanic-survivor
23,"BEHR,MrKarl Howell",https://www.encyclopedia-titanica.org/titanic-survivor/karl-howell-behr.html,titanic-survivor
24,"BESSETTE,MissNellie Mayo",https://www.encyclopedia-titanica.org/titanic-survivor/nellie-bessette.html,titanic-survivor
25,"BIDOIS,MissRosalie",https://www.encyclopedia-titanica.org/titanic-survivor/rosalie-bidois.html,titanic-survivor
26,"BIRD,MissEllen",https://www.encyclopedia-titanica.org/titanic-survivor/ellen-bird.html,titanic-survivor
27,"BIRNBAUM,MrJakob",https://www.encyclopedia-titanica.org/titanic-victim/jakob-birnbaum.html,titanic-victim
28,"BISHOP,MrDickinson H.",https://www.encyclopedia-titanica.org/titanic-survivor/dickinson-bishop.html,titanic-survivor
29,"BISHOP,MrsHelen Margaret",https://www.encyclopedia-titanica.org/titanic-survivor/helen-bishop.html,titanic-survivor
30,"BJÖRNSTRÖM-STEFFANSSON,MrMauritz Håkan",https://www.encyclopedia-titanica.org/titanic-survivor/mauritz-hakan-bjornstrom-steffansson.html,titanic-survivor
31,"BLACKWELL,MrStephen Weart",https://www.encyclopedia-titanica.org/titanic-victim/stephen-weart-blackwell.html,titanic-victim
32,"BLANK,MrHenry",https://www.encyclopedia-titanica.org/titanic-survivor/henry-blank.html,titanic-survivor
33,"BONNELL,MissCaroline",https://www.encyclopedia-titanica.org/titanic-survivor/caroline-bonnell.html,titanic-survivor
34,"BONNELL,MissElizabeth",https://www.encyclopedia-titanica.org/titanic-survivor/elizabeth-bonnell.html,titanic-survivor
35,"BOREBANK,MrJohn James",https://www.encyclopedia-titanica.org/titanic-victim/john-james-borebank.html,titanic-victim
36,"BOWEN,MissGrace Scott",https://www.encyclopedia-titanica.org/titanic-survivor/grace-scott-bowen.html,titanic-survivor
37,"BOWERMAN,MissElsie Edith",https://www.encyclopedia-titanica.org/titanic-survivor/elsie-edith-bowerman.html,titanic-survivor
38,"BRADY,MrJohn Bertram",https://www.encyclopedia-titanica.org/titanic-victim/john-bertram-brady.html,titanic-victim
39,"BRAND,Mr",https://www.encyclopedia-titanica.org/titanic-biography/brand.html,titanic-survivor
40,"BRANDEIS,MrEmil Franklin",https://www.encyclopedia-titanica.org/titanic-victim/emil-brandeis.html,titanic-victim
41,"BRERETON,MrGeorge Andrew",https://www.encyclopedia-titanica.org/titanic-survivor/george-brereton.html,titanic-survivor
42,"BREWE,DrArthur Jackson",https://www.encyclopedia-titanica.org/titanic-victim/arthur-jackson-brewe.html,titanic-victim
43,"BROWN,MrsCaroline Lane",https://www.encyclopedia-titanica.org/titanic-survivor/caroline-lane-brown.html,titanic-survivor
44,"BROWN,MrsMargaret",https://www.encyclopedia-titanica.org/titanic-survivor/molly-brown.html,titanic-survivor
45,"BROWNE,MrFrancis M.",https://www.encyclopedia-titanica.org/titanic-biography/francis-browne.html,titanic-survivor
46,"BUCKNELL,MrsEmma Eliza",https://www.encyclopedia-titanica.org/titanic-survivor/emma-bucknell.html,titanic-survivor
47,"BURNS,MissElizabeth Margaret",https://www.encyclopedia-titanica.org/titanic-survivor/elizabeth-burns.html,titanic-survivor
48,"BUTT,MajorArchibald Willingham",https://www.encyclopedia-titanica.org/titanic-victim/archibald-butt.html,titanic-victim
49,"CAIRNS,MrAlexander Milne",https://www.encyclopedia-titanica.org/titanic-victim/alexander-cairns.html,titanic-victim
50,"CALDERHEAD,MrEdward Pennington",https://www.encyclopedia-titanica.org/titanic-survivor/edward-pennington-calderhead.html,titanic-survivor
51,"CANDEE,MrsHelen Churchill",https://www.encyclopedia-titanica.org/titanic-survivor/helen-churchill-candee.html,titanic-survivor
52,"CARDEZA,MrsCharlotte Wardle",https://www.encyclopedia-titanica.org/titanic-survivor/charlotte-cardeza.html,titanic-survivor
53,"CARDEZA,MrThomas Drake Martinez",https://www.encyclopedia-titanica.org/titanic-survivor/thomas-cardeza.html,titanic-survivor
54,"CARLSSON,MrFrans Olof",https://www.encyclopedia-titanica.org/titanic-victim/frans-olof-carlsson.html,titanic-victim
55,"CARRAU,MrFrancisco Mauro Severiano",https://www.encyclopedia-titanica.org/titanic-victim/francisco-carrau.html,titanic-victim
56,"CARRAÚ-ESTEVES,MrJosé Pedro",https://www.encyclopedia-titanica.org/titanic-victim/jose-pedro-carrau.html,titanic-victim
57,"CARRUTHERS,MrFrancis",https://www.encyclopedia-titanica.org/titanic-biography/francis-carruthers.html,titanic-survivor
58,"CARTER,MrWilliam Ernest",https://www.encyclopedia-titanica.org/titanic-survivor/william-carter.html,titanic-survivor
59,"CARTER,MrsLucile",https://www.encyclopedia-titanica.org/titanic-survivor/lucile-carter.html,titanic-survivor
60,"CARTER,MissLucile Polk",https://www.encyclopedia-titanica.org/titanic-survivor/lucile-polk-carter.html,titanic-survivor
61,"CARTER,MasterWilliam Thornton II",https://www.encyclopedia-titanica.org/titanic-survivor/william-thornton-carter.html,titanic-survivor
62,"CASE,MrHoward Brown",https://www.encyclopedia-titanica.org/titanic-victim/howard-case.html,titanic-victim
63,"CASSEBEER,MrsEleanor Genevieve",https://www.encyclopedia-titanica.org/titanic-survivor/eleanor-cassebeer.html,titanic-survivor
64,"CAVENDISH,MrTyrell William",https://www.encyclopedia-titanica.org/titanic-victim/tyrell-william-cavendish.html,titanic-victim
65,"CAVENDISH,MrsJulia Florence",https://www.encyclopedia-titanica.org/titanic-survivor/julia-florence-cavendish.html,titanic-survivor
66,"CHAFFEE,MrHerbert Fuller",https://www.encyclopedia-titanica.org/titanic-victim/herbert-fuller-chaffee.html,titanic-victim
67,"CHAFFEE,MrsCarrie Constance",https://www.encyclopedia-titanica.org/titanic-survivor/carrie-constance-chaffee.html,titanic-survivor
68,"CHAMBERS,MrNorman Campbell",https://www.encyclopedia-titanica.org/titanic-survivor/norman-campbell-chambers.html,titanic-survivor
69,"CHAMBERS,MrsBertha",https://www.encyclopedia-titanica.org/titanic-survivor/bertha-chambers.html,titanic-survivor
70,"CHAUDANSON,MissVictorine",https://www.encyclopedia-titanica.org/titanic-survivor/victorine-chaudanson.html,titanic-survivor
71,"CHERRY,MissGladys",https://www.encyclopedia-titanica.org/titanic-survivor/gladys-cherry.html,titanic-survivor
72,"CHEVRÉ,MrPaul Romaine Marie Léonce",https://www.encyclopedia-titanica.org/titanic-survivor/paul-chevre.html,titanic-survivor
73,"CHIBNALL,MrsEdith Martha Bowerman",https://www.encyclopedia-titanica.org/titanic-survivor/edith-martha-chibnall.html,titanic-survivor
74,"CHISHOLM,MrRoderick",https://www.encyclopedia-titanica.org/titanic-victim/roderick-chisholm.html,titanic-victim
75,"CLARK,MrWalter Miller",https://www.encyclopedia-titanica.org/titanic-victim/walter-miller-clark.html,titanic-victim
76,"CLARK,MrsVirginia Estelle",https://www.encyclopedia-titanica.org/titanic-survivor/virginia-clark.html,titanic-survivor
77,"CLEAVER,MissAlice Catherine",https://www.encyclopedia-titanica.org/titanic-survivor/alice-cleaver.html,titanic-survivor
78,"CLIFFORD,MrGeorge Quincy",https://www.encyclopedia-titanica.org/titanic-victim/george-quincy-clifford.html,titanic-victim
79,"COLLEY,MrEdward Pomeroy",https://www.encyclopedia-titanica.org/titanic-victim/edward-pomeroy-colley.html,titanic-victim
